campaign_id,send_time,recipient_id,delivered,bounced,opened,clicked,converted
EMAIL-NEWSLETTER-04,2025-09-01T00:56:36,R-0216,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-01T01:51:36,R-0420,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-01T01:54:47,R-0476,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-01T03:16:27,R-0538,True,False,False,False,False
EMAIL-PROMO-02,2025-09-01T06:26:40,R-0079,True,False,True,False,False
EMAIL-PROMO-02,2025-09-01T07:01:54,R-0417,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-01T08:54:42,R-0521,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-01T10:36:48,R-0108,True,False,False,False,False
EMAIL-PROMO-02,2025-09-01T11:33:07,R-0421,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-01T14:05:31,R-0433,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-01T15:04:37,R-0241,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-01T15:32:36,R-0261,False,True,False,False,False
EMAIL-PROMO-02,2025-09-01T16:37:29,R-0108,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-01T17:01:53,R-0383,True,False,False,False,False
EMAIL-PROMO-02,2025-09-01T19:10:28,R-0042,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-01T19:56:28,R-0050,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-01T20:21:04,R-0167,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-01T22:16:31,R-0430,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-02T00:30:19,R-0446,True,False,True,False,False
EMAIL-PROMO-02,2025-09-02T02:00:40,R-0194,True,False,True,False,False
EMAIL-PROMO-02,2025-09-02T03:03:56,R-0503,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-02T04:30:47,R-0001,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-02T05:21:52,R-0046,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-02T05:30:54,R-0033,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-02T09:07:05,R-0375,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-02T10:02:33,R-0256,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-02T10:08:49,R-0586,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-02T10:48:37,R-0297,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-02T12:36:20,R-0313,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-02T18:11:40,R-0070,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-02T18:17:18,R-0306,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-02T19:05:03,R-0229,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-02T19:31:18,R-0146,True,False,False,False,False
EMAIL-PROMO-02,2025-09-02T19:41:09,R-0238,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-02T19:41:34,R-0362,True,False,False,False,False
EMAIL-PROMO-02,2025-09-02T20:22:58,R-0482,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-02T20:34:32,R-0364,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-02T21:31:39,R-0287,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-02T21:40:24,R-0576,True,False,False,False,False
EMAIL-PROMO-02,2025-09-03T00:39:48,R-0370,True,False,True,True,True
EMAIL-PROMO-02,2025-09-03T04:17:17,R-0432,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-03T07:53:34,R-0336,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-03T11:01:23,R-0028,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-03T11:12:16,R-0179,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-03T12:38:10,R-0306,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-03T14:38:17,R-0065,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-03T14:57:55,R-0229,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-03T15:24:09,R-0395,True,False,True,False,False
EMAIL-WELCOME-01,2025-09-03T20:24:38,R-0573,True,False,False,False,False
EMAIL-PROMO-02,2025-09-03T21:08:12,R-0439,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-03T23:34:24,R-0484,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-03T23:59:05,R-0179,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T00:19:23,R-0374,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T04:10:37,R-0269,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T05:22:13,R-0340,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T09:12:31,R-0271,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T09:28:45,R-0463,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T10:36:45,R-0492,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T11:33:48,R-0271,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T13:33:36,R-0492,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-04T14:17:57,R-0113,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T14:22:28,R-0483,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T14:28:33,R-0378,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T15:00:44,R-0232,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-04T16:11:54,R-0570,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-04T16:14:37,R-0470,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-04T18:03:29,R-0599,True,False,True,True,False
EMAIL-WELCOME-01,2025-09-04T20:11:07,R-0006,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-04T21:34:57,R-0036,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-04T23:10:47,R-0061,True,False,False,False,False
EMAIL-PROMO-02,2025-09-04T23:24:31,R-0329,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-05T01:55:24,R-0423,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-05T01:58:17,R-0202,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-05T03:30:40,R-0585,True,False,False,False,False
EMAIL-PROMO-02,2025-09-05T04:59:44,R-0549,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-05T05:58:25,R-0126,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-05T07:49:57,R-0203,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-05T09:06:06,R-0035,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-05T10:12:15,R-0577,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-05T10:35:50,R-0016,True,False,False,False,False
EMAIL-PROMO-02,2025-09-05T12:25:57,R-0236,True,False,True,False,False
EMAIL-PROMO-02,2025-09-05T20:35:42,R-0089,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-06T03:32:55,R-0548,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-06T03:43:28,R-0524,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-06T05:18:55,R-0071,True,False,False,False,False
EMAIL-PROMO-02,2025-09-06T06:18:49,R-0015,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-06T07:41:46,R-0274,True,False,False,False,False
EMAIL-PROMO-02,2025-09-06T10:02:17,R-0278,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-06T10:13:15,R-0120,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-06T11:30:53,R-0538,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-06T12:07:11,R-0286,True,False,False,False,False
EMAIL-PROMO-02,2025-09-06T12:08:07,R-0271,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-06T12:55:14,R-0131,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-06T13:52:59,R-0101,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-06T14:38:05,R-0269,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-06T17:27:49,R-0051,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-06T19:52:13,R-0023,True,False,False,False,False
EMAIL-WINBACK-03,2025-09-06T19:57:34,R-0027,True,False,True,False,False
EMAIL-NEWSLETTER-04,2025-09-07T00:14:00,R-0544,True,False,True,False,False
EMAIL-WINBACK-03,2025-09-07T01:21:17,R-0071,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-07T02:42:29,R-0294,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-07T03:03:07,R-0300,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-07T03:13:06,R-0231,True,False,True,False,False
EMAIL-ABANDON-05,2025-09-07T05:12:50,R-0531,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-07T05:57:21,R-0408,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-07T06:40:18,R-0054,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-07T09:07:37,R-0074,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-07T09:25:34,R-0304,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-07T09:45:18,R-0129,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-07T12:20:57,R-0474,True,False,True,True,False
EMAIL-PROMO-02,2025-09-07T12:25:27,R-0415,True,False,False,False,False
EMAIL-NEWSLETTER-04,2025-09-07T15:52:45,R-0187,True,False,False,False,False
EMAIL-WELCOME-01,2025-09-07T18:20:52,R-0463,True,False,False,False,False
EMAIL-ABANDON-05,2025-09-07T18:35:34,R-0403,True,False,True,False,False
EMAIL-WELCOME-01,2025-09-07T21:28:28,R-0249,True,False,True,False,False
